Company,Payments,Current Account,Saving Account,Lending,Insurance,Investments,Digital onboarding,Instant credit,Card-lock,In-app chatbot,Account aggregation,Budgeting and spending tools,Marketplace,Scale_Employees,Score_Employees,Scale_Funding stage,Score_Funding stage,Scale_Funding amount,Score_Funding amount,Scale_2019 revenue (in USD),Score_2019 revenue (in USD),Scale_Users,Score_Users,Scale_Geographic coverage,Score_Geographic coverage,Scale_App downloads,Score_App downloads,Scale_App ratings,Score_App ratings
Revolut,1,1,1,1,1,1,1,1,1,1,1,1,1,2000,3,Series D,4,917m,4,218m,3,13.0m,3,"APAC, Americas, EMEA",3,10.0m,4,4.8,5
Monzo,1,1,1,1,1,1,1,1,,1,1,1,1,2500,3,Series E+,5,462m,2,90m,1,5.0m,1,EMEA,1,5.0m,2,4.85,5
N26,1,1,1,1,1,1,1,,1,1,,1,,1500,2,Series D,4,783m,4,78m,1,6.0m,2,EMEA,1,1.0m,1,4.6,5
Chime,1,1,1,1,,,1,1,1,,1,1,,7500,5,Series E+,5,154000m,5,200m,2,8.0m,2,Americas,1,5.0m,2,4.65,5
KakaoBank,1,1,1,1,,1,1,1,,1,,1,,800,2,Not disclosed,3,861m,4,13m,1,12.0m,3,APAC,1,10.0m,4,4,4
WeBank,1,1,1,1,1,1,1,1,,,,,1,2500,3,Not disclosed,3,183m,1,227m,3,200.0m,5,APAC,1,NA,4,2.8,3
MyBank,,1,1,1,1,1,1,1,,1,,,,350,1,Not disclosed,3,Not disclosed,3,96m,1,29.0m,3,APAC,1,NA,4,NA,4
PayTM,1,1,1,1,1,1,1,1,1,,,,,5000,4,Series E+,5,4800m,5,493m,5,57.0m,3,APAC,1,100.0m,5,4.55,5
Tinkoff,1,1,1,1,1,1,1,1,,1,,1,1,7500,5,Series D,4,90m,1,1360m,5,10.0m,2,EMEA,1,19.0m,5,4.85,5
Up Bank,1,1,1,,,,1,,1,1,,1,,70,1,Self-funded,3,Self-funded,3,NA,3,0.3m,1,APAC,1,0.1m,1,4.6,5
