Company,ExpandRound2,FundingYear,FundingDate,Amount,SourceURL,Founded_Year,Status,ReportRegion1,ReportRegion2,ReportRegion3,ReportCountry,ReportCity,L2 (Bank Type),L3 (Bank Model),Sector
86 400,Series A,2020,4/8/2020,"  21,193,400 ",https://www.86400.com.au/,2017,Operating,APAC,APAC,Australia & South Pacific,Australia,Sydney,Challenger Bank,FinTech,Retail Banking
Albo,Seed/Angel,2016,5/1/2016,"  400,000 ",https://www.albo.mx/,2014,Operating,Americas,North America,North America,Mexico,Mexico City,Challenger Bank,FinTech,Retail Banking
Albo,Seed/Angel,2018,1/1/2018,"  700,000 ",https://www.albo.mx/,2014,Operating,Americas,North America,North America,Mexico,Mexico City,Challenger Bank,FinTech,Retail Banking
Albo,Series A,2019,1/1/2019,"  7,400,000 ",https://www.albo.mx/,2014,Operating,Americas,North America,North America,Mexico,Mexico City,Challenger Bank,FinTech,Retail Banking
Albo,Series A,2019,12/1/2019,"  19,000,000 ",https://www.albo.mx/,2014,Operating,Americas,North America,North America,Mexico,Mexico City,Challenger Bank,FinTech,Retail Banking
Anytime,Seed/Angel,2013,5/15/2013,"  400,000 ",http://www.anyti.me,2012,Operating,EMEA,Europe (incl Russia),Western Europe,Belgium,Brussels,NeoBank,Independent ,Retail and SME
Anytime,Seed/Angel,2014,4/1/2014,"  3,448,433 ",http://www.anyti.me,2012,Operating,EMEA,Europe (incl Russia),Western Europe,Belgium,Brussels,NeoBank,Independent ,Retail and SME
Apiture,Unattributed VC,2020,7/7/2020,"  20,000,000 ",https://www.apiture.com/,2017,Operating,Americas,North America,NC,United States,Wilmington,NeoBank,Partnership,Retail Banking
Aspiration,Seed/Angel,2013,10/1/2013,"  2,500,000 ",https://www.aspiration.com,2013,Operating,Americas,North America,CA,United States,Marina del Rey,NeoBank,Independent ,Retail Banking
Aspiration,Series A,2015,9/17/2015,"  15,500,000 ",https://www.aspiration.com,2013,Operating,Americas,North America,CA,United States,Marina del Rey,NeoBank,Independent ,Retail Banking
Aspiration,Series B,2017,12/7/2017,"  47,000,000 ",https://www.aspiration.com,2013,Operating,Americas,North America,CA,United States,Marina del Rey,NeoBank,Independent ,Retail Banking
Aspiration,Series B,2017,12/12/2017,  -   ,https://www.aspiration.com,2013,Operating,Americas,North America,CA,United States,Marina del Rey,NeoBank,Independent ,Retail Banking
Aspiration,Series C,2020,5/21/2020,"  135,000,000 ",https://www.aspiration.com,2013,Operating,Americas,North America,CA,United States,Marina del Rey,NeoBank,Independent ,Retail Banking
Atom Bank,Seed/Angel,2014,12/31/2014,  -   ,https://www.atombank.co.uk/,2014,Operating,EMEA,Europe (incl Russia),Northern Europe,United Kingdom,Durham,Challenger Bank,FinTech,Retail Banking
