company,src,category
Ant Financial,https://www.vectorlogo.zone/logos/antfin/antfin-ar21.svg,Payments
Paytm,https://upload.wikimedia.org/wikipedia/commons/2/24/Paytm_Logo_%28standalone%29.svg,Payments
Digital Insight,https://upload.wikimedia.org/wikipedia/en/3/3d/Digital_Insight_Logo.png,Payments
PhonePe,https://www.logo.wine/a/logo/PhonePe/PhonePe-Logo.wine.svg,Payments
Amazon Pay,https://upload.wikimedia.org/wikipedia/commons/2/29/Amazon_Pay_logo.svg,Payments
Marqeta,https://www.marqeta.com/uk/wp-content/uploads/sites/3/2020/05/svg-logo-marqeta-dark.svg,Payments
Coinbase,https://www.coinbase.com/assets/press/coinbase-logos/coinbase-a673b0735e63d6ea6513e464a83c41165fca9b99b2216b5de70e5187356dd47d.png,Payments
Bakkt,https://publicdocs.bakkt.com/brand-assets/Bakkt-Logo.png,Payments
Toss,https://cdn-website.partechpartners.com/media/images/toss-logo-web-2019.original.png,Payments
Lu.com,https://static.lufaxcdn.com/wcm-images/UcuCOdQ4bJE5qGwNvDRIBA.jpg,Lending & Crowd...
SoFi,https://s3-eu-west-1.amazonaws.com/tpd/logos/5605d6460000ff000583b7d2/0x0.png,Lending & Crowd...
Klarna,https://seekvectorlogo.com/wp-content/uploads/2019/11/klarna-vector-logo.png,Lending & Crowd...
Du Xiaoman Financial,https://www.duxiaoman.com/static/fe-duxiaoman/static/images/logo.png,Lending & Crowd...
Affirm,https://securecdn.pymnts.com/wp-content/uploads/2020/03/alt-credit_0012_Layer-4.png,Lending & Crowd...
Souche,https://img.souche.com/f2e/f90edc96cb94ffa984a798ebc20e8efd.png,Lending & Crowd...
Qudian,https://ir.qudian.com/sites/g/files/knoqqb37261/themes/site/nir_pid3107/dist/images/logo-on-white2.jpg,Lending & Crowd...
Vroom,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Vroomlogo.png/220px-Vroomlogo.png,Lending & Crowd...
Jiedaibao,https://uploads3.craft.co/uploads/company/logo/14238xx/1423806/normal_0af6a4c1035cb108.png,Lending & Crowd...
Chime,https://www.chime.com/wp-content/themes/project-sscms-2020-12-10T07-39-28/images/brand/chime-logo.svg,Retail Accounts
Nubank,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Nubank_logo.png/220px-Nubank_logo.png,Retail Accounts
Revolut,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Logo_Revolut.png/800px-Logo_Revolut.png,Retail Accounts
KakaoBank,https://www.fintechfutures.com/files/2018/06/Kakao-Bank.jpg,Retail Accounts
N26,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/N26_logo_2019.svg/130px-N26_logo_2019.svg.png,Retail Accounts
Atom Bank,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Atom_Bank_Logo.svg/220px-Atom_Bank_Logo.svg.png,Retail Accounts
Monzo,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Monzo_logo.svg/200px-Monzo_logo.svg.png,Retail Accounts
Varo Money,https://mma.prnewswire.com/media/1022766/Varo_Logo.jpg?p=facebook,Retail Accounts
Neon pagamentos,https://newsroom.paypal-corp.com/image/neon_OGI.png,Retail Accounts
Nubank,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Nubank_logo.png/220px-Nubank_logo.png,Challenger Banks
Revolut,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Logo_Revolut.png/800px-Logo_Revolut.png,Challenger Banks
KakaoBank,https://www.fintechfutures.com/files/2018/06/Kakao-Bank.jpg,Challenger Banks
N26,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/N26_logo_2019.svg/130px-N26_logo_2019.svg.png,Challenger Banks
WeLab,https://www.welab.co/images/shared/logo.svg,Challenger Banks
Atom Money,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Atom_Bank_Logo.svg/220px-Atom_Bank_Logo.svg.png,Challenger Banks
Judo Bank,https://upload.wikimedia.org/wikipedia/commons/5/59/JudoBankLogo.png,Challenger Banks
Toss,https://cdn-website.partechpartners.com/media/images/toss-logo-web-2019.original.png,Challenger Banks
Varo Money,https://mma.prnewswire.com/media/1022766/Varo_Logo.jpg?p=facebook,Challenger Banks
Chime,https://www.chime.com/wp-content/themes/project-sscms-2020-12-10T07-39-28/images/brand/chime-logo.svg,Neobanks
Kabbage,https://mms.businesswire.com/media/20200407005618/en/783697/23/kabbage_logo_horizontal_webready.jpg,Neobanks
Stash,https://www.theneura.com/wp-content/uploads/2019/10/stash.png,Neobanks
Betterment,https://cdn.xignite.com/site/media/1521/betterment.png,Neobanks
Koho,https://mk0topmobilebanlk2ks.kinstacdn.com/wp-content/uploads/2020/09/koho.png,Neobanks
Aspiration,https://cdn5.banks.com/app/uploads/2020/10/21071425/Aspiration-Logo-Tagline.png,Neobanks
MoneyLion,https://securecdn.pymnts.com/wp-content/uploads/2020/02/moneylion.png,Neobanks
Uala,https://upload.wikimedia.org/wikipedia/commons/b/b1/Uala.png,Neobanks
Monese,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Monese-logo.png/220px-Monese-logo.png,Neobanks
Nubank,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Nubank_logo.png/220px-Nubank_logo.png,Accounts & Savings
